DATE,INDPRO
2011/4/1,93.6571
2011/5/1,93.7723
2011/6/1,94.0493
2011/7/1,94.4958
2011/8/1,95.0974
2011/9/1,95.0244
2011/10/1,95.6891
2011/11/1,95.6778
2011/12/1,96.1809
2012/1/1,96.7595
2012/2/1,97.0662
2012/3/1,96.5609
2012/4/1,97.251
2012/5/1,97.4595
2012/6/1,97.4768
2012/7/1,97.6714
2012/8/1,97.2734
2012/9/1,97.2217
2012/10/1,97.5311
2012/11/1,97.9084
2012/12/1,98.1884
2013/1/1,98.1736
2013/2/1,98.6434
2013/3/1,99.047
2013/4/1,98.9445
2013/5/1,99.0383
2013/6/1,99.2221
2013/7/1,98.8987
2013/8/1,99.4897
2013/9/1,100.021
2013/10/1,99.9037
2013/11/1,100.1582
2013/12/1,100.374
2014/1/1,99.9899
2014/2/1,100.7471
2014/3/1,101.7435
2014/4/1,101.8273
2014/5/1,102.2392
2014/6/1,102.5774
2014/7/1,102.7954
2014/8/1,102.6322
2014/9/1,102.9417
2014/10/1,102.9611
2014/11/1,103.5978
2014/12/1,103.6151
2015/1/1,102.7923
2015/2/1,102.1366
2015/3/1,101.7869
2015/4/1,101.2255
2015/5/1,100.7675
2015/6/1,100.4588
2015/7/1,101.0893
2015/8/1,100.9165
2015/9/1,100.633
2015/10/1,100.1563
2015/11/1,99.4366
2015/12/1,98.9471
2016/1/1,99.4391
2016/2/1,98.9232
2016/3/1,98.1635
2016/4/1,98.4775
2016/5/1,98.2549
2016/6/1,98.7315
